id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,syrian_refugees,health_care,muslim_Immigration,abortion,deport_immigrants,taxes,border_wall,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,conservative_political_belief_total,IAT_score
230,12/5/2017,17:26:36,2,1,2,1,19,48442,11,11,1,1,2,1,5,3,2,2,7,5,4,6,6,5,5,5,5,5,5,99,99,99,99,99,0,2,1,1,1,1,796,4,796,3,30,49,1.128862868
231,12/5/2017,17:48:22,3,2,1,2,19,48158,6,6,3,2,1,5,5,5,1,2,7,6,4,6,5,5,5,5,5,5,5,2,1,3,1,1,122258,99,99,99,99,99,0,3,122258,3,30,32,1.360809731
232,12/5/2017,18:03:04,4,2,2,1,19,48185,6,6,3,5,2,4,4,4,1,2,5,4,3,2,6,5,4,5,4,4,3,2,1,3,3,1,82244,99,99,99,99,99,0,3,82244,4,25,29,0.059803687
233,12/5/2017,18:31:57,2,1,2,1,19,48602,3,3,4,4,1,3,2,5,1,2,1,5,4,7,6,5,4,5,4,5,5,99,99,99,99,99,0,2,2,1,1,2,71900,4,71900,5,28,22,0.62696743
234,12/5/2017,18:45:21,3,2,1,2,22,49506,2,4,4,4,1,4,2,3,1,2,6,5,5,6,5,2,2,4,3,5,3,2,1,2,3,2,54709,99,99,99,99,99,0,3,54709,4,19,19,0.954964364
235,12/5/2017,19:08:10,1,1,1,2,18,48079,4,4,3,4,2,5,2,4,1,2,4,3,3,1,5,3,3,4,3,3,3,99,99,99,99,99,0,2,2,1,1,1,71058,4,71058,4,19,23,0.229605066
237,12/7/2017,10:06:08,3,2,1,1,21,48433,6,6,4,5,3,5,2,3,2,2,6,3,1,1,6,3,3,3,2,1,3,2,1,1,3,1,92104,99,99,99,99,99,0,5,92104,3,15,26,1.188269314
240,12/7/2017,11:36:51,1,1,1,1,18,48323,6,6,2,5,1,5,5,4,1,2,7,6,6,2,5,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,2,34585,4,34585,5,30,29,0.811069688
241,12/7/2017,11:52:16,2,1,2,1,18,48240,7,7,2,4,3,1,4,2,1,2,6,4,2,2,5,5,5,4,5,5,5,99,99,99,99,99,0,2,2,1,1,2,75364,4,75364,5,29,35,0.103336607
242,12/7/2017,12:06:58,3,2,1,2,19,49931,11,7,1,3,4,4,5,3,4,2,6,4,5,2,6,4,3,4,3,3,4,2,1,2,3,1,66300,99,99,99,99,99,0,1,66300,3,21,44,1.092818756
107,12/8/2017,9:28:23,2,1,2,1,23,48047,2,1,4,5,1,4,1,4,1,2,1,3,3,6,5,5,5,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,57143,3,57143,4,30,15,0.9500068563
109,12/8/2017,11:09:59,2,1,2,2,19,49765,8,6,3,4,2,4,4,4,2,2,1,4,3,2,6,5,5,4,3,5,3,99,99,99,99,99,0,2,2,1,1,1,68436,4,68436,4,25,33,0.2183828288
110,12/8/2017,11:23:13,1,1,1,1,18,48044,6,6,4,2,2,5,4,3,2,2,5,4,2,3,6,4,4,4,4,3,3,99,99,99,99,99,0,2,2,1,1,1,36931,6,36931,4,22,30,1.653521734
111,12/8/2017,11:46:17,3,2,1,1,21,48363,5,5,4,3,2,4,4,4,4,2,5,3,3,2,5,3,3,4,4,4,4,2,1,1,3,1,61184,99,99,99,99,99,0,4,61184,3,22,31,1.083485629
112,12/8/2017,12:09:34,4,2,2,2,18,48111,6,6,3,2,1,5,2,4,1,2,6,4,2,4,5,4,4,5,4,4,5,2,1,3,1,1,72289,99,99,99,99,99,0,2,72289,3,26,28,0.1565796641
113,12/8/2017,12:50:36,4,2,2,1,20,48096,8,8,4,4,2,2,4,4,4,2,6,4,4,5,5,4,4,4,4,4,4,2,1,1,1,1,79185,99,99,99,99,99,0,3,79185,2,24,38,0.9571255605
115,12/8/2017,14:00:20,3,2,1,1,19,48146,6,6,3,4,3,4,3,4,2,2,5,4,4,4,5,3,3,4,3,4,4,2,1,3,3,1,88725,99,99,99,99,99,0,1,88725,4,21,31,1.295455551
116,12/8/2017,14:12:57,1,1,1,1,19,48346,10,10,1,1,4,3,5,3,4,2,5,4,3,2,5,3,3,3,3,3,3,99,99,99,99,99,0,2,2,1,1,2,56031,3,56031,5,18,49,
117,12/8/2017,14:28:30,3,2,1,2,18,48642,7,7,2,4,4,4,2,3,2,2,7,5,3,7,5,5,1,5,4,5,4,2,1,3,1,1,102867,99,99,99,99,99,0,4,102867,3,24,33,1.14427107
118,12/8/2017,14:55:43,1,1,1,2,18,48067,3,5,4,4,1,5,1,3,1,2,6,4,3,6,5,4,3,4,3,4,3,99,99,99,99,99,0,2,2,1,1,1,88203,3,88203,4,21,19,-0.02767463745
