id,date,time,condition,npi_total,sex,age,npi_1,npi_2,filler_1,npi_3,npi_4,npi_5,filler_2,npi_6,npi_7,npi_8,filler_3,npi_9,npi_10,npi_11,npi_12,npi_13,filler_4,npi_14,npi_15,npi_16,filler_5,npi_17,npi_18,filler_6,npi_19,npi_20,npi_21,filler_7,npi_22,npi_23,npi_24,filler_8,npi_25,npi_26,npi_27,filler_9,npi_28,npi_29,npi_30,filler_10,npi_31,npi_32,npi_33,filler_11,npi_34,npi_35,npi_36,filler_12,npi_37,npi_38,npi_39,filler_13,npi_40,certain_of_guess
34,12/5/2016,17:55:06,1,16,1,19,1,2,1,1,1,1,1,2,1,1,1,1,2,1,2,1,2,2,1,1,1,1,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,1,2,1,2,2,1,2,1,2,2,2,1,1,4
35,12/5/2016,18:31:57,2,12,1,18,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,2,2,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,2,2,2,1,1,1
36,12/6/2016,10:10:59,3,11,1,18,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,1,2,2,2,1,1,3
37,12/6/2016,10:40:00,2,16,0,18,1,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1,2,2,1,1,2,1,2,2,1,2,2,1,2,1,1,1,2,1,1,1,2,1,1,1,2,1,2,2
38,12/6/2016,10:55:20,1,15,1,18,1,2,1,2,1,1,1,2,1,1,2,2,1,2,1,1,2,1,1,1,2,1,1,2,2,1,2,1,2,1,2,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,1,2,2,1,1,2,1
39,12/6/2016,11:40:47,3,17,1,18,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,1,2,3
40,12/6/2016,12:54:59,2,3,1,21,2,2,1,2,1,1,1,1,1,2,2,1,1,2,2,2,2,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,1,1
41,12/6/2016,13:37:42,1,7,0,21,1,2,2,2,1,1,1,2,1,2,1,2,2,2,2,1,2,2,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,1,1,3
42,12/6/2016,14:07:18,1,5,1,19,1,2,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,1,1,1,4
43,12/6/2016,14:31:56,1,15,1,19,1,2,1,1,1,1,2,2,1,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,2,1,2,1,2,1,1,2,2,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,4
44,12/6/2016,15:29:42,3,18,0,19,2,2,2,2,1,2,1,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,2,2,1,2,2,2,1,2,1,1,2,4
45,12/6/2016,16:06:28,2,18,0,19,1,2,2,1,1,2,2,2,2,1,1,1,2,1,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,1,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,2
