,congress,chamber,bioguide,last_name,state_x,district,party,votes,agree_pct,predicted_agree,net_trump_vote,Unnamed: 0,state_y,name,twitter_handle
371,116,house,M001200,McEachin,VA,4.0,D,73.0,0.0821917808219178,0.09572313,-21.6,503,VA-04,A. Donald McEachin,@RepMcEachin
372,116,house,M001201,Mitchell,MI,10.0,R,2.0,1.0,0.93317133,32.2,308,MI-10,Paul Mitchell,@RepPaulMitchell
373,116,house,M001202,Murphy,FL,7.0,D,89.0,0.101123595505618,0.13389248,-7.3,13,CT ,Christopher Murphy,@SenMurphyOffice
374,116,house,M001202,Murphy,FL,7.0,D,89.0,0.101123595505618,0.13389248,-7.3,194,FL-07,Stephanie Murphy,@RepStephMurphy
375,116,house,M001210,Murphy,NC,3.0,R,39.0,0.897435897435897,0.86904141,23.6,13,CT ,Christopher Murphy,@SenMurphyOffice
376,116,house,M001210,Murphy,NC,3.0,R,39.0,0.897435897435897,0.86904141,23.6,194,FL-07,Stephanie Murphy,@RepStephMurphy
377,116,senate,M001169,Murphy,CT,,D,42.0,0.214285714285714,0.24561437,-13.63938672,13,CT ,Christopher Murphy,@SenMurphyOffice
378,116,senate,M001169,Murphy,CT,,D,42.0,0.214285714285714,0.24561437,-13.63938672,194,FL-07,Stephanie Murphy,@RepStephMurphy
379,116,house,M001203,Malinowski,NJ,7.0,D,89.0,0.0674157303370786,0.23125667,-1.1,358,NJ-07,Tom Malinowski,@RepMalinowski
380,116,house,M001204,Meuser,PA,9.0,R,85.0,0.941176470588235,0.92375441,34.0,432,PA-09,Daniel Meuser,@RepMeuser
381,116,house,M001205,Miller,WV,3.0,R,88.0,0.9772727272727271,0.93525034,49.2,532,WV-03,Carol Miller,@RepCarolMiller
382,116,house,M001206,Morelle,NY,25.0,D,87.0,0.0689655172413793,0.09168221,-16.4,395,NY-25,Joseph Morelle,@RepJoeMorelle
383,116,house,M001207,Mucarsel-Powell,FL,26.0,D,89.0,0.0674157303370786,0.08995767,-16.3,213,FL-26,Debbie Mucarsel-Powell,@RepDMP
384,116,house,M001208,McBath,GA,6.0,D,89.0,0.0786516853932584,0.30383045,1.5,220,GA-06,Lucy McBath,@RepLucyMcBath
385,116,house,M001209,McAdams,UT,4.0,D,89.0,0.213483146067416,0.50012673,6.7,499,UT-04,Ben McAdams,@RepBenMcAdams
386,116,house,N000002,Nadler,NY,10.0,D,86.0,0.0813953488372093,0.055052,-59.5,380,NY-10,Jerrold Nadler,@RepJerryNadler
387,116,house,N000015,Neal,MA,1.0,D,87.0,0.0689655172413793,0.08336424,-20.7,290,MA-01,Richard Neal,@RepRichardNeal
388,116,house,N000179,Napolitano,CA,32.0,D,88.0,0.0568181818181818,0.06832298,-38.9,152,CA-32,Grace Napolitano,@gracenapolitano
389,116,house,N000181,Nunes,CA,22.0,R,87.0,0.931034482758621,0.61406828,9.5,142,CA-22,Devin Nunes,@RepDevinNunes
390,116,house,N000188,Norcross,NJ,1.0,D,89.0,0.0449438202247191,0.07707324,-24.5,352,NJ-01,Donald Norcross,@DonaldNorcross
391,116,house,N000189,Newhouse,WA,4.0,R,87.0,0.8620689655172409,0.89028522,22.8,515,WA-04,Dan Newhouse,@RepNewhouse
392,116,house,N000190,Norman,SC,5.0,R,85.0,0.952941176470588,0.84473133,18.5,447,SC-05,Ralph Norman,@RepRalphNorman
393,116,house,N000191,Neguse,CO,2.0,D,89.0,0.0674157303370786,0.08089001,-21.3,175,CO-02,Joe Neguse,@RepJoeNeguse
394,116,house,O000168,Olson,TX,22.0,R,83.0,0.927710843373494,0.55102968,7.9,481,TX-22,Pete Olson,@RepPeteOlson
395,116,house,O000172,Ocasio-Cortez,NY,14.0,D,89.0,0.179775280898876,0.06128737,-57.9,384,NY-14,Alexandria Ocasio-Cortez,@RepAOC
396,116,house,O000173,Omar,MN,5.0,D,87.0,0.11494252873563199,0.06340483,-55.2,317,MN-05,Ilhan Omar,@Ilhan
397,116,house,P000034,Pallone,NJ,6.0,D,89.0,0.0449438202247191,0.09170054,-15.6,357,NJ-06,Frank Pallone ,@FrankPallone
398,116,house,P000096,Pascrell,NJ,9.0,D,88.0,0.0454545454545455,0.07244589,-31.2,360,NJ-09,Bill Pascrell ,@BillPascrell
399,116,house,P000197,Pelosi,CA,12.0,D,37.0,0.108108108108108,0.10389569,-77.5,132,CA-12,Nancy Pelosi,@SpeakerPelosi
400,116,house,P000258,Peterson,MN,7.0,D,88.0,0.261363636363636,0.92853255,30.8,319,MN-07,Collin Peterson,
401,116,house,P000523,Price,NC,4.0,D,89.0,0.0674157303370786,0.06708917,-40.0,337,NC-04,David Price,@RepDavidEPrice
402,116,house,P000593,Perlmutter,CO,7.0,D,88.0,0.0681818181818182,0.10152818,-12.0,180,CO-07,Ed Perlmutter,@RepPerlmutter
403,116,house,P000597,Pingree,ME,1.0,D,88.0,0.0340909090909091,0.08382026,-14.8,280,ME-01,Chellie Pingree,@chelliepingree
404,116,house,P000599,Posey,FL,8.0,R,89.0,0.8876404494382021,0.8727872999999999,20.7,195,FL-08,Bill Posey,@congbillposey
405,116,house,P000601,Palazzo,MS,4.0,R,81.0,0.9506172839506171,0.93038052,41.2,332,MS-04,Steven Palazzo,@CongPalazzo
406,116,house,P000604,Payne,NJ,10.0,D,80.0,0.0625,0.06474221,-72.4,361,NJ-10,Donald Payne ,@RepDonaldPayne
407,116,house,P000605,Perry,PA,10.0,R,87.0,0.9425287356321842,0.589849,8.9,433,PA-10,Scott Perry,@RepScottPerry
408,116,house,P000607,Pocan,WI,2.0,D,89.0,0.101123595505618,0.06852899,-36.8,523,WI-02,Mark Pocan,@repmarkpocan
409,116,house,P000608,Peters,CA,52.0,D,88.0,0.0568181818181818,0.08022956,-22.5,42,MI ,Gary Peters,@SenGaryPeters
410,116,house,P000608,Peters,CA,52.0,D,88.0,0.0568181818181818,0.08022956,-22.5,172,CA-52,Scott Peters,@RepScottPeters
411,116,senate,P000595,Peters,MI,,D,43.0,0.18604651162790697,0.42610247,0.22303327,42,MI ,Gary Peters,@SenGaryPeters
412,116,senate,P000595,Peters,MI,,D,43.0,0.18604651162790697,0.42610247,0.22303327,172,CA-52,Scott Peters,@RepScottPeters
413,116,house,P000609,Palmer,AL,6.0,R,88.0,0.943181818181818,0.94104548,44.7,106,AL-06,Gary Palmer,@USRepGaryPalmer
414,116,house,P000613,Panetta,CA,20.0,D,89.0,0.0674157303370786,0.06439731,-47.2,140,CA-20,Jimmy Panetta,@RepJimmyPanetta
415,116,house,P000614,Pappas,NH,1.0,D,89.0,0.0786516853932584,0.30703543,1.6,350,NH-01,Chris Pappas,@RepChrisPappas
416,116,house,P000615,Pence,IN,6.0,R,88.0,1.0,0.93305185,40.3,260,IN-06,Greg Pence,@RepGregPence
417,116,house,P000616,Phillips,MN,3.0,D,89.0,0.0674157303370786,0.11759448,-9.4,315,MN-03,Dean Phillips,@RepDeanPhillips
418,116,house,P000617,Pressley,MA,7.0,D,89.0,0.12359550561797801,0.05823095,-72.2,296,MA-07,Ayanna Pressley,@RepPressley
419,116,house,P000618,Porter,CA,45.0,D,88.0,0.0681818181818182,0.15567357,-5.4,165,CA-45,Katie Porter,@RepKatiePorter
420,116,house,Q000023,Quigley,IL,5.0,D,88.0,0.0681818181818182,0.06533148,-46.6,241,IL-05,Mike Quigley,@RepMikeQuigley
421,116,house,R000395,Rogers,KY,5.0,R,88.0,0.931818181818182,0.93708913,62.1,103,AL-03,Mike Rogers,@RepMikeRogersAL
422,116,house,R000395,Rogers,KY,5.0,R,88.0,0.931818181818182,0.93708913,62.1,272,KY-05,Harold Rogers,@RepHalRogers
