id,date,time,condition,threat,iat_order,gender,age,zipcode,conservative_ideology,right_ideology,god_belief,certain_of_god_belief,importance_of_religion,religious_attendance,frequency_of_prayer,religious_affiliation,belief_in_heaven,belief_in_hell,belief_in_miracles,belief_in_angels,belief_in_life_after_death,belief_in_the_soul,text_comprehension_G_1,text_comprehension_G_2,text_comprehension_G_3,text_comprehension_G_4,text_comprehension_G_5,duration_reading_text_G,text_comprehension_R_1,text_comprehension_R_2,text_comprehension_R_3,text_comprehension_R_4,text_comprehension_R_5,duration_reading_text_R,certain_of_guess,duration_reading_text_ALL,correct_reading_comprehension,religious_belief_total,IAT_score
51,11/15/2017,18:43:11,1,1,1,1,19,49301,7,5,2,5,3,3,2,6,4,4,3,1,4,5,99,99,99,99,99,0,2,2,1,1,1,44221,6,44221,4,21,1.196310497
52,11/15/2017,19:08:43,4,2,2,2,18,NA,6,8,2,6,5,5,4,7,5,5,4,4,4,3,2,1,3,3,1,88392,99,99,99,99,99,0,4,88392,4,25,0.455484029
53,11/16/2017,14:13:08,3,2,1,2,18,49712,7,7,2,5,4,4,6,6,4,4,5,5,5,5,2,1,3,3,2,79830,99,99,99,99,99,0,3,79830,5,28,0.780477626
54,11/16/2017,14:26:54,1,1,1,1,19,48098,4,4,2,2,2,2,2,1,3,3,3,2,4,3,99,99,99,99,99,0,2,2,1,1,1,50466,3,50466,4,18,0.905741542
55,11/16/2017,14:47:14,2,1,2,1,18,48360,5,5,2,5,1,1,1,6,2,3,3,1,3,3,99,99,99,99,99,0,2,2,1,1,1,87754,3,87754,4,15,0.34079057
56,11/16/2017,15:03:39,4,2,2,2,18,48842,6,6,2,5,4,4,2,5,4,4,5,3,4,4,2,1,3,1,1,77750,99,99,99,99,99,0,3,77750,3,24,0.309087928
57,11/16/2017,15:37:59,2,1,2,1,23,49686,2,2,1,7,1,1,1,10,1,1,1,1,2,3,99,99,99,99,99,0,2,2,1,1,1,87719,3,87719,4,9,0.389282547
58,11/16/2017,16:12:31,1,1,1,2,18,50677,4,3,2,1,4,3,2,5,5,4,5,4,4,4,99,99,99,99,99,0,2,2,1,1,2,60706,5,60706,5,26,1.064708003
59,11/16/2017,16:24:56,3,2,1,1,18,49508,5,5,2,7,4,3,7,5,3,3,5,5,5,5,2,1,1,1,1,78846,99,99,99,99,99,0,3,78846,2,26,1.311060916
60,11/16/2017,16:41:55,4,2,2,2,21,48750,6,6,1,3,3,1,5,1,3,2,3,2,3,5,2,1,3,3,2,108279,99,99,99,99,99,0,2,108279,5,18,0.331288399
61,11/16/2017,17:13:11,2,1,2,1,23,48044,3,4,2,7,4,4,4,5,4,5,5,5,5,5,99,99,99,99,99,0,3,3,1,1,1,1513,2,1513,2,29,0.619341811
62,11/16/2017,17:37:55,1,1,1,2,20,48446,8,7,2,6,4,4,7,5,4,4,5,5,5,5,99,99,99,99,99,0,2,2,1,1,1,84895,4,84895,4,28,
63,11/16/2017,18:07:32,3,2,1,2,19,49548,1,3,1,6,1,1,1,3,3,3,2,2,3,3,2,1,3,3,1,47424,99,99,99,99,99,0,2,47424,4,16,1.462103891
64,NA,NA,4,2,2,2,20,48801,10,10,2,7,5,5,6,7,5,5,5,5,5,5,1,1,1,1,1,796,99,99,99,99,99,0,4,796,1,30,-0.16377253
65,11/17/2017,9:12:02,4,2,2,2,18,46783,9,6,2,7,5,5,7,5,5,4,5,4,5,3,2,1,3,1,1,98965,99,99,99,99,99,0,3,98965,3,26,1.13812033
66,11/17/2017,9:51:27,2,1,2,1,18,48165,4,6,2,6,4,4,3,5,4,4,4,3,4,4,99,99,99,99,99,0,2,2,1,1,1,92343,4,92343,4,23,0.459866205
67,11/17/2017,10:08:17,1,1,1,2,18,19518,8,4,2,6,4,4,7,5,5,3,5,3,5,5,99,99,99,99,99,0,2,2,1,1,1,56755,3,56755,4,26,1.213441012
68,11/17/2017,10:41:04,3,2,1,1,21,49420,10,10,2,7,4,2,5,6,5,5,5,4,5,3,2,1,3,1,1,64077,99,99,99,99,99,0,5,64077,3,27,0.613505356
69,11/17/2017,11:33:57,1,1,1,1,20,14072,7,7,1,3,2,3,1,6,3,3,2,2,2,4,99,99,99,99,99,0,2,2,1,1,1,59347,3,59347,4,16,0.747580374
70,11/17/2017,11:52:26,2,1,2,2,21,49684,4,4,1,4,4,2,1,12,2,1,4,4,5,5,99,99,99,99,99,0,2,2,1,1,1,59059,4,59059,4,21,0.875789542
71,11/17/2017,12:32:51,4,2,2,2,18,48154,6,6,2,6,4,3,2,6,3,3,3,3,4,3,2,1,2,1,1,62780,99,99,99,99,99,0,3,62780,2,19,0.762425996
72,11/17/2017,12:51:06,3,2,1,2,20,49461,3,3,2,2,2,1,2,5,3,1,3,2,5,4,2,1,1,1,1,90611,99,99,99,99,99,0,1,90611,2,18,0.946189015
73,11/17/2017,13:04:45,4,2,2,2,20,48642,3,5,2,4,1,1,2,10,5,3,4,5,5,5,2,1,2,3,1,47539,99,99,99,99,99,0,2,47539,3,27,0.195262764
74,11/17/2017,13:32:25,2,1,2,1,18,33025,5,5,2,7,4,2,2,7,5,5,4,3,5,3,99,99,99,99,99,0,2,2,1,1,1,70637,4,70637,4,25,0.283782267
75,11/17/2017,13:47:11,1,1,1,2,22,48837,2,3,1,5,3,1,1,10,2,2,2,3,3,4,99,99,99,99,99,0,2,2,1,1,2,56371,3,56371,5,16,-0.010553992
76,11/17/2017,14:28:36,3,2,1,2,18,48198,5,6,2,4,3,4,7,5,5,5,5,5,5,3,2,1,3,1,1,43649,99,99,99,99,99,0,1,43649,3,28,0.843155068
77,11/17/2017,14:51:48,1,1,1,2,19,48161,5,5,1,4,4,1,2,6,3,4,3,5,3,4,99,99,99,99,99,0,2,2,1,1,1,44725,4,44725,4,22,0.847675334
78,11/20/2017,9:07:24,2,1,2,2,21,48375,7,6,2,6,4,5,6,6,4,3,4,4,4,4,99,99,99,99,99,0,2,2,1,1,1,48688,3,48688,4,23,0.713694796
79,11/20/2017,9:50:23,3,2,1,2,18,48188,6,6,2,5,2,1,1,5,4,4,3,3,3,3,2,1,1,1,1,91834,99,99,99,99,99,0,3,91834,2,20,0.85678876
80,11/20/2017,10:09:51,4,2,2,2,19,48236,5,7,2,7,4,2,4,6,4,2,5,3,5,3,2,1,2,3,1,122676,99,99,99,99,99,0,2,122676,3,22,0.435738842
81,11/20/2017,10:29:49,1,1,1,2,18,49203,6,6,2,4,3,3,5,5,4,3,2,1,4,3,99,99,99,99,99,0,2,2,1,1,1,103691,3,103691,4,17,1.006716816
